,index,price,year,manufacturer,model,nummodel,cylinders,numcylinders,odometer,title_status,numtitle_status,transmission,numtransmission,drive,numdrive,size,numsize,type,numtype,paint_color,numpaint_color,state,numstate
14724,14724,9999,2004,ford,f-150,951,8 cylinders,2,254252.0,clean,0,automatic,0,4wd,0,full-size,1,pickup,5,black,0,nv,33
14725,14725,4500,2006,toyota,corolla ce,438,4 cylinders,0,172000.0,clean,0,manual,1,fwd,1,compact,0,sedan,6,black,0,nv,33
14726,14726,9800,2015,honda,accord,63,4 cylinders,0,62000.0,rebuilt,4,automatic,0,fwd,1,full-size,1,sedan,6,black,0,nj,31
14727,14727,2250,2004,honda,odyssey,1540,6 cylinders,1,178000.0,clean,0,automatic,0,fwd,1,full-size,1,mini-van,4,blue,1,nj,31
14728,14728,5500,2012,toyota,camry le,276,4 cylinders,0,103050.0,clean,0,automatic,0,fwd,1,mid-size,2,sedan,6,silver,9,nj,31
14729,14729,3650,2005,honda,odyssey,1540,6 cylinders,1,175000.0,clean,0,automatic,0,fwd,1,full-size,1,mini-van,4,silver,9,nj,31
14730,14730,7700,2006,chevrolet,silverado 1500,1798,8 cylinders,2,175538.0,clean,0,automatic,0,4wd,0,full-size,1,mini-van,4,black,0,nj,31
14731,14731,14900,2005,ford,super duty f-250,1930,8 cylinders,2,114163.0,clean,0,automatic,0,4wd,0,full-size,1,pickup,5,blue,1,nj,31
14732,14732,8750,2008,ford,econoline e150,686,8 cylinders,2,67325.0,clean,0,automatic,0,fwd,1,full-size,1,van,7,white,10,nj,31
14733,14733,5900,2010,toyota,prius,1604,4 cylinders,0,151000.0,clean,0,automatic,0,fwd,1,full-size,1,hatchback,3,white,10,nj,31
14734,14734,6500,2007,honda,odyssey,1540,6 cylinders,1,131000.0,clean,0,automatic,0,fwd,1,full-size,1,mini-van,4,green,4,nj,31
14735,14735,9495,2013,ford,escape,768,4 cylinders,0,127078.0,clean,0,automatic,0,4wd,0,full-size,1,SUV,0,grey,5,nj,31
14736,14736,12995,2015,honda,fit,1196,4 cylinders,0,32905.0,clean,0,automatic,0,fwd,1,compact,0,hatchback,3,white,10,nj,31
14737,14737,25995,2018,ford,transit,2077,6 cylinders,1,51238.0,clean,0,automatic,0,fwd,1,full-size,1,van,7,white,10,nj,31
14738,14738,14495,2015,toyota,camry,262,4 cylinders,0,56878.0,clean,0,automatic,0,fwd,1,compact,0,sedan,6,black,0,nj,31
14739,14739,12495,2016,ford,fusion,1300,4 cylinders,0,85497.0,clean,0,automatic,0,fwd,1,compact,0,sedan,6,custom,3,nj,31
14740,14740,6995,2013,chevrolet,sonic,1874,4 cylinders,0,85424.0,clean,0,manual,1,fwd,1,compact,0,sedan,6,red,8,nj,31
14741,14741,6495,2007,honda,civic,342,4 cylinders,0,112512.0,clean,0,automatic,0,fwd,1,compact,0,sedan,6,red,8,nj,31
14742,14742,7795,2008,honda,cr-v,480,4 cylinders,0,135083.0,clean,0,automatic,0,4wd,0,full-size,1,SUV,0,blue,1,nj,31
14743,14743,5500,2012,chevrolet,malibu lt,1461,4 cylinders,0,98226.0,salvage,5,automatic,0,fwd,1,mid-size,2,sedan,6,blue,1,nj,31
14744,14744,1750,2002,toyota,celica,331,4 cylinders,0,106731.0,clean,0,automatic,0,fwd,1,compact,0,coupe,2,silver,9,nj,31
14745,14745,6500,2012,honda,accord,63,4 cylinders,0,149720.0,clean,0,automatic,0,fwd,1,full-size,1,sedan,6,silver,9,nj,31
14746,14746,11500,2016,chevrolet,malibu ls,1458,4 cylinders,0,92260.0,clean,0,automatic,0,fwd,1,full-size,1,sedan,6,black,0,nj,31
14747,14747,18700,2016,honda,pilot ex-l,1579,6 cylinders,1,80500.0,rebuilt,4,automatic,0,4wd,0,full-size,1,SUV,0,black,0,nj,31
14748,14748,12495,2011,honda,cr-v,480,4 cylinders,0,89448.0,clean,0,automatic,0,4wd,0,full-size,1,SUV,0,black,0,nj,31
