,Country,first_seq,num_seqs,last_seq,variant
2224,Trinidad and Tobago,2021-01-12,9,2021-05-04,S.Y144-
2225,Montenegro,2021-01-17,55,2021-08-05,S.Y144-
2226,Grenada,2021-01-17,4,2021-06-24,S.Y144-
2227,Cabo Verde,2021-01-18,4,2021-02-03,S.Y144-
2228,Latvia,2021-01-19,3256,2021-07-06,S.Y144-
2229,Croatia,2021-01-20,4212,2021-08-27,S.Y144-
2230,Aruba,2021-01-20,552,2021-07-16,S.Y144-
2231,Central African Republic,2021-01-20,33,2021-04-26,S.Y144-
2232,Liechtenstein,2021-01-21,32,2021-06-10,S.Y144-
2233,Guadeloupe,2021-01-21,123,2021-11-01,S.Y144-
2234,Kuwait,2021-01-21,37,2021-07-05,S.Y144-
2235,Republic of the Congo,2021-01-21,91,2021-11-21,S.Y144-
2236,South Sudan,2021-01-23,46,2021-07-14,S.Y144-
2237,Curacao,2021-01-23,310,2021-07-14,S.Y144-
2238,Cameroon,2021-01-26,42,2021-09-17,S.Y144-
2239,Guinea,2021-01-26,56,2021-07-07,S.Y144-
2240,Antigua and Barbuda,2021-01-26,20,2021-07-25,S.Y144-
2241,Moldova,2021-01-27,24,2021-06-24,S.Y144-
2242,Mali,2021-01-29,34,2021-08-30,S.Y144-
2243,Belize,2021-01-29,27,2021-08-08,S.Y144-
2244,Benin,2021-01-30,120,2021-07-08,S.Y144-
2245,Lithuania,2021-02-02,9458,2021-10-08,S.Y144-
2246,Cambodia,2021-02-03,809,2021-11-20,S.Y144-
2247,Ethiopia,2021-02-04,27,2021-06-10,S.Y144-
2248,Monaco,2021-02-04,3,2021-04-17,S.Y144-
2249,Bonaire,2021-02-06,163,2021-10-28,S.Y144-
2250,Sint Maarten,2021-02-12,433,2021-09-13,S.Y144-
2251,Djibouti,2021-02-12,76,2021-05-20,S.Y144-
2252,Suriname,2021-02-18,75,2021-08-09,S.Y144-
2253,Libya,2021-02-18,12,2021-06-07,S.Y144-
2254,Tunisia,2021-02-20,9,2021-05-20,S.Y144-
2255,Belarus,2021-02-23,4,2021-03-22,S.Y144-
2256,Somalia,2021-02-28,6,2021-03-05,S.Y144-
2257,Kazakhstan,2021-03-02,182,2021-08-17,S.Y144-
2258,Guatemala,2021-03-11,21,2021-07-15,S.Y144-
2259,Botswana,2021-03-12,7,2021-11-21,S.Y144-
2260,Armenia,2021-03-18,16,2021-07-06,S.Y144-
2261,Bahamas,2021-03-18,59,2021-08-07,S.Y144-
2262,Afghanistan,2021-03-21,52,2021-05-29,S.Y144-
2263,Papua New Guinea,2021-03-22,1,2021-03-22,S.Y144-
2264,Honduras,2021-03-30,2,2021-04-23,S.Y144-
2265,Malta,2021-04-01,56,2021-05-09,S.Y144-
2266,Liberia,2021-04-04,4,2021-05-20,S.Y144-
2267,Algeria,2021-04-12,13,2021-07-28,S.Y144-
2268,Timor-Leste,2021-04-25,2,2021-06-17,S.Y144-
2269,El Salvador,2021-04-29,10,2021-08-02,S.Y144-
2270,Seychelles,2021-05-15,13,2021-09-21,S.Y144-
2271,Burundi,2021-05-27,1,2021-05-27,S.Y144-
2272,Andorra,2021-06-07,7,2021-07-02,S.Y144-
2273,Uzbekistan,2021-06-25,19,2021-06-25,S.Y144-
2274,Eswatini,2021-06-27,7,2021-07-08,S.Y144-
2275,Colombia,2021-01-08,3471,2021-11-05,21H.Mu
2276,Venezuela,2021-01-21,5,2021-07-03,21H.Mu
2277,Bolivia,2021-02-06,2,2021-06-02,21H.Mu
2278,Spain,2021-03-06,533,2021-10-15,21H.Mu
2279,USA,2021-03-12,5765,2021-11-07,21H.Mu
2280,Curacao,2021-03-26,22,2021-08-04,21H.Mu
2281,Panama,2021-04-01,9,2021-04-28,21H.Mu
2282,Italy,2021-04-03,57,2021-07-28,21H.Mu
2283,Denmark,2021-04-05,10,2021-08-05,21H.Mu
2284,Liechtenstein,2021-04-08,1,2021-04-08,21H.Mu
2285,Netherlands,2021-04-08,75,2021-07-30,21H.Mu
2286,Mexico,2021-04-19,415,2021-11-11,21H.Mu
2287,Germany,2021-04-20,16,2021-07-22,21H.Mu
2288,Aruba,2021-04-21,62,2021-08-27,21H.Mu
2289,Chile,2021-04-27,942,2021-11-11,21H.Mu
2290,France,2021-04-28,24,2021-08-31,21H.Mu
2291,Argentina,2021-04-30,19,2021-09-25,21H.Mu
2292,Dominican Republic,2021-05-03,124,2021-08-04,21H.Mu
2293,Switzerland,2021-05-05,43,2021-08-07,21H.Mu
2294,Haiti,2021-05-07,6,2021-07-27,21H.Mu
2295,Bonaire,2021-05-07,10,2021-09-24,21H.Mu
2296,Sint Maarten,2021-05-10,3,2021-08-03,21H.Mu
2297,Ecuador,2021-05-13,438,2021-11-17,21H.Mu
2298,Austria,2021-05-13,48,2021-05-18,21H.Mu
2299,Brazil,2021-05-18,18,2021-09-10,21H.Mu
2300,Slovakia,2021-05-19,4,2021-07-14,21H.Mu
2301,Peru,2021-05-20,198,2021-11-01,21H.Mu
2302,Belgium,2021-05-22,52,2021-10-11,21H.Mu
2303,United Kingdom,2021-05-23,85,2021-08-19,21H.Mu
2304,Jamaica,2021-05-27,25,2021-07-24,21H.Mu
2305,Malta,2021-05-27,1,2021-05-27,21H.Mu
2306,Costa Rica,2021-05-30,60,2021-09-30,21H.Mu
2307,Portugal,2021-05-31,23,2021-07-08,21H.Mu
2308,Poland,2021-06-01,8,2021-08-08,21H.Mu
2309,Luxembourg,2021-06-01,2,2021-06-08,21H.Mu
2310,Finland,2021-06-02,5,2021-06-28,21H.Mu
2311,Hong Kong,2021-06-06,2,2021-06-06,21H.Mu
2312,Czech Republic,2021-06-08,1,2021-06-08,21H.Mu
2313,Australia,2021-06-08,1,2021-06-08,21H.Mu
2314,Ireland,2021-06-10,3,2021-07-05,21H.Mu
2315,Guatemala,2021-06-10,1,2021-06-10,21H.Mu
2316,Canada,2021-06-10,31,2021-08-31,21H.Mu
2317,Turkey,2021-06-23,2,2021-06-23,21H.Mu
2318,Japan,2021-06-29,3,2021-08-04,21H.Mu
2319,Barbados,2021-07-03,1,2021-07-03,21H.Mu
2320,Israel,2021-07-04,2,2021-08-23,21H.Mu
2321,South Korea,2021-07-04,1,2021-07-04,21H.Mu
2322,Morocco,2021-07-04,1,2021-07-04,21H.Mu
2323,Sweden,2021-07-07,3,2021-07-21,21H.Mu
2324,Romania,2021-07-20,1,2021-07-20,21H.Mu
2325,India,2020-12-01,5201,2021-09-19,21B.Kappa
2326,Indonesia,2021-01-14,2,2021-04-29,21B.Kappa
2327,France,2021-02-21,16,2021-06-01,21B.Kappa
2328,United Kingdom,2021-02-22,452,2021-09-14,21B.Kappa
2329,USA,2021-02-25,330,2021-08-19,21B.Kappa
2330,Singapore,2021-02-26,59,2021-05-13,21B.Kappa
2331,Canada,2021-02-26,412,2021-06-05,21B.Kappa
2332,Ireland,2021-02-26,210,2021-07-04,21B.Kappa
2333,Germany,2021-03-01,103,2021-06-30,21B.Kappa
2334,Denmark,2021-03-08,28,2021-05-31,21B.Kappa
2335,New Zealand,2021-03-09,4,2021-04-08,21B.Kappa
2336,Guadeloupe,2021-03-10,2,2021-03-10,21B.Kappa
2337,Switzerland,2021-03-16,10,2021-05-04,21B.Kappa
2338,Australia,2021-03-16,156,2021-06-26,21B.Kappa
2339,Finland,2021-03-18,11,2021-05-23,21B.Kappa
2340,Sint Maarten,2021-03-19,2,2021-04-03,21B.Kappa
2341,Mexico,2021-03-20,7,2021-06-02,21B.Kappa
2342,Angola,2021-03-21,6,2021-04-12,21B.Kappa
2343,Belgium,2021-03-25,17,2021-05-13,21B.Kappa
2344,South Korea,2021-03-26,12,2021-04-27,21B.Kappa
2345,Sweden,2021-03-26,5,2021-04-17,21B.Kappa
2346,Uganda,2021-03-26,1,2021-03-26,21B.Kappa
2347,Italy,2021-03-27,19,2021-06-03,21B.Kappa
2348,Japan,2021-03-29,20,2021-05-07,21B.Kappa
2349,Ghana,2021-03-30,11,2021-05-24,21B.Kappa
2350,Portugal,2021-04-05,9,2021-05-04,21B.Kappa
2351,Bahrain,2021-04-05,8,2021-04-10,21B.Kappa
2352,Slovenia,2021-04-06,3,2021-04-06,21B.Kappa
2353,Jordan,2021-04-06,5,2021-04-25,21B.Kappa
2354,Netherlands,2021-04-06,28,2021-06-29,21B.Kappa
2355,Greece,2021-04-06,1,2021-04-06,21B.Kappa
2356,Kenya,2021-04-07,7,2021-05-06,21B.Kappa
2357,Czech Republic,2021-04-09,4,2021-05-04,21B.Kappa
2358,Luxembourg,2021-04-09,10,2021-06-11,21B.Kappa
2359,Qatar,2021-04-10,6,2021-04-23,21B.Kappa
2360,Malaysia,2021-04-10,4,2021-06-01,21B.Kappa
2361,Hong Kong,2021-04-11,12,2021-04-18,21B.Kappa
2362,Russia,2021-04-11,1,2021-04-11,21B.Kappa
2363,Norway,2021-04-13,3,2021-04-21,21B.Kappa
2364,Saudi Arabia,2021-04-13,2,2021-04-14,21B.Kappa
2365,Gabon,2021-04-14,1,2021-04-14,21B.Kappa
2366,Slovakia,2021-04-19,1,2021-04-19,21B.Kappa
2367,Oman,2021-04-19,2,2021-05-16,21B.Kappa
2368,Seychelles,2021-04-20,1,2021-04-20,21B.Kappa
2369,Nigeria,2021-04-21,1,2021-04-21,21B.Kappa
2370,Morocco,2021-04-22,1,2021-04-22,21B.Kappa
2371,Spain,2021-04-22,5,2021-05-19,21B.Kappa
2372,South Africa,2021-04-23,16,2021-08-06,21B.Kappa
2373,Curacao,2021-04-23,1,2021-04-23,21B.Kappa
2374,Thailand,2021-04-26,1,2021-04-26,21B.Kappa
2375,Iran,2021-04-27,1,2021-04-27,21B.Kappa
2376,Nepal,2021-04-29,2,2021-05-09,21B.Kappa
2377,Zambia,2021-04-30,3,2021-05-02,21B.Kappa
2378,Romania,2021-05-05,1,2021-05-05,21B.Kappa
2379,Myanmar,2021-05-26,4,2021-06-02,21B.Kappa
2380,Israel,2021-06-28,1,2021-06-28,21B.Kappa
2381,Austria,2021-08-01,1,2021-08-01,21B.Kappa
2382,United Kingdom,2020-06-10,1,2020-06-10,S.Q677H.Bluebird
2383,India,2020-06-17,10,2021-02-24,S.Q677H.Bluebird
2384,USA,2020-08-17,620,2021-11-04,S.Q677H.Bluebird
2385,Japan,2020-12-13,2,2021-04-01,S.Q677H.Bluebird
2386,Singapore,2020-12-20,2,2020-12-28,S.Q677H.Bluebird
2387,Switzerland,2021-01-13,1,2021-01-13,S.Q677H.Bluebird
2388,Israel,2021-01-15,1,2021-01-15,S.Q677H.Bluebird
2389,Finland,2021-01-18,1,2021-01-18,S.Q677H.Bluebird
2390,Indonesia,2021-01-25,1,2021-01-25,S.Q677H.Bluebird
2391,Canada,2021-03-04,1,2021-03-04,S.Q677H.Bluebird
2392,Mexico,2021-03-16,3,2021-06-10,S.Q677H.Bluebird
2393,France,2021-08-17,1,2021-08-17,S.Q677H.Bluebird
2394,Russia,2021-09-22,1,2021-09-22,S.Q677H.Bluebird
2395,United Kingdom,2020-09-20,262689,2021-10-30,20I.Alpha.V1
2396,Serbia,2020-09-28,79,2021-07-13,20I.Alpha.V1
2397,United Arab Emirates,2020-10-01,376,2021-02-13,20I.Alpha.V1
2398,Sweden,2020-10-08,68421,2021-10-12,20I.Alpha.V1
2399,Kenya,2020-10-09,935,2021-09-23,20I.Alpha.V1
2400,Italy,2020-10-09,26438,2021-10-23,20I.Alpha.V1
2401,Romania,2020-10-11,1694,2021-09-23,20I.Alpha.V1
2402,France,2020-10-18,32631,2021-11-15,20I.Alpha.V1
2403,USA,2020-10-21,238931,2021-11-09,20I.Alpha.V1
2404,India,2020-10-27,4293,2021-10-07,20I.Alpha.V1
2405,Ireland,2020-10-28,16431,2021-08-20,20I.Alpha.V1
2406,Slovenia,2020-11-02,8656,2021-08-17,20I.Alpha.V1
2407,Spain,2020-11-08,24674,2021-09-14,20I.Alpha.V1
2408,Canada,2020-11-08,32165,2021-10-27,20I.Alpha.V1
2409,Switzerland,2020-11-09,21877,2021-11-07,20I.Alpha.V1
2410,Denmark,2020-11-09,63566,2021-09-13,20I.Alpha.V1
2411,Portugal,2020-11-09,5027,2021-08-08,20I.Alpha.V1
2412,Netherlands,2020-11-12,29515,2021-10-11,20I.Alpha.V1
2413,Georgia,2020-11-14,98,2021-08-09,20I.Alpha.V1
2414,Israel,2020-11-15,8377,2021-08-11,20I.Alpha.V1
2415,Ghana,2020-11-20,444,2021-05-21,20I.Alpha.V1
2416,Austria,2020-11-23,3554,2021-08-01,20I.Alpha.V1
2417,Malawi,2020-11-25,5,2021-05-28,20I.Alpha.V1
2418,Australia,2020-11-30,612,2021-08-23,20I.Alpha.V1
2419,Germany,2020-11-30,104056,2021-09-27,20I.Alpha.V1
2420,Slovakia,2020-11-30,4593,2021-08-20,20I.Alpha.V1
2421,Belgium,2020-11-30,21370,2021-11-09,20I.Alpha.V1
2422,Zambia,2020-12-01,7,2021-09-02,20I.Alpha.V1
2423,Japan,2020-12-01,47924,2021-09-24,20I.Alpha.V1
2424,Iceland,2020-12-02,622,2021-07-29,20I.Alpha.V1
2425,Hong Kong,2020-12-06,68,2021-08-02,20I.Alpha.V1
2426,Singapore,2020-12-08,190,2021-07-10,20I.Alpha.V1
2427,Norway,2020-12-09,13842,2021-10-08,20I.Alpha.V1
2428,Philippines,2020-12-10,2754,2021-08-28,20I.Alpha.V1
2429,Albania,2020-12-10,29,2021-07-13,20I.Alpha.V1
2430,Greece,2020-12-11,5668,2021-09-03,20I.Alpha.V1
2431,Senegal,2020-12-11,38,2021-06-04,20I.Alpha.V1
2432,Barbados,2020-12-12,46,2021-07-25,20I.Alpha.V1
2433,Bulgaria,2020-12-13,3070,2021-09-30,20I.Alpha.V1
2434,South Korea,2020-12-14,815,2021-09-21,20I.Alpha.V1
2435,Nigeria,2020-12-14,265,2021-07-26,20I.Alpha.V1
2436,Dominica,2020-12-16,5,2021-04-01,20I.Alpha.V1
2437,New Zealand,2020-12-16,144,2021-07-03,20I.Alpha.V1
2438,Saint Lucia,2020-12-17,38,2021-07-26,20I.Alpha.V1
2439,Finland,2020-12-18,6702,2021-09-10,20I.Alpha.V1
2440,Jordan,2020-12-20,143,2021-11-01,20I.Alpha.V1
2441,Thailand,2020-12-21,1970,2021-10-18,20I.Alpha.V1
2442,Brazil,2020-12-21,1035,2021-08-30,20I.Alpha.V1
2443,Argentina,2020-12-21,325,2021-10-18,20I.Alpha.V1
2444,Jamaica,2020-12-21,207,2021-07-18,20I.Alpha.V1
2445,Poland,2020-12-22,15539,2021-09-27,20I.Alpha.V1
2446,Oman,2020-12-22,139,2021-07-06,20I.Alpha.V1
2447,Qatar,2020-12-22,270,2021-06-07,20I.Alpha.V1
2448,Chile,2020-12-22,273,2021-08-30,20I.Alpha.V1
2449,Estonia,2020-12-23,3216,2021-07-28,20I.Alpha.V1
2450,Maldives,2020-12-23,17,2021-04-25,20I.Alpha.V1
2451,Bermuda,2020-12-23,2,2021-01-05,20I.Alpha.V1
2452,Turkey,2020-12-24,2034,2021-10-11,20I.Alpha.V1
2453,Luxembourg,2020-12-24,4903,2021-07-28,20I.Alpha.V1
2454,Bosnia and Herzegovina,2020-12-25,78,2021-06-28,20I.Alpha.V1
2455,Russia,2020-12-25,411,2021-07-30,20I.Alpha.V1
2456,Pakistan,2020-12-25,463,2021-08-25,20I.Alpha.V1
2457,Taiwan,2020-12-26,54,2021-07-28,20I.Alpha.V1
2458,Iraq,2020-12-27,95,2021-07-06,20I.Alpha.V1
2459,Dominican Republic,2020-12-27,20,2021-05-21,20I.Alpha.V1
2460,Malaysia,2020-12-28,33,2021-06-26,20I.Alpha.V1
2461,Gabon,2020-12-28,48,2021-09-30,20I.Alpha.V1
2462,Rwanda,2020-12-28,13,2021-08-01,20I.Alpha.V1
2463,Cyprus,2020-12-28,10,2021-01-27,20I.Alpha.V1
2464,Fiji,2020-12-28,6,2021-05-04,20I.Alpha.V1
2465,Lebanon,2020-12-29,804,2021-07-14,20I.Alpha.V1
2466,Bangladesh,2020-12-31,98,2021-07-03,20I.Alpha.V1
2467,Mexico,2020-12-31,1798,2021-10-13,20I.Alpha.V1
2468,Peru,2020-12-31,24,2021-05-12,20I.Alpha.V1
2469,Kuwait,2020-12-31,29,2021-07-01,20I.Alpha.V1
2470,Palestine,2020-12-31,28,2021-04-09,20I.Alpha.V1
2471,Sri Lanka,2021-01-02,458,2021-10-14,20I.Alpha.V1
2472,Guinea-Bissau,2021-01-04,33,2021-02-05,20I.Alpha.V1
2473,North Macedonia,2021-01-04,309,2021-07-13,20I.Alpha.V1
2474,Czech Republic,2021-01-04,4477,2021-10-09,20I.Alpha.V1
2475,South Africa,2021-01-05,239,2021-08-27,20I.Alpha.V1
2476,Kosovo,2021-01-05,26,2021-07-29,20I.Alpha.V1
2477,Ecuador,2021-01-05,260,2021-09-12,20I.Alpha.V1
2478,Indonesia,2021-01-05,78,2021-11-07,20I.Alpha.V1
2479,Hungary,2021-01-06,29,2021-02-26,20I.Alpha.V1
2480,Gambia,2021-01-06,65,2021-05-03,20I.Alpha.V1
2481,Vietnam,2021-01-08,11,2021-05-22,20I.Alpha.V1
2482,Morocco,2021-01-08,92,2021-07-22,20I.Alpha.V1
2483,Iran,2021-01-08,122,2021-07-19,20I.Alpha.V1
2484,Niger,2021-01-09,2,2021-01-09,20I.Alpha.V1
2485,Mauritius,2021-01-10,1,2021-01-10,20I.Alpha.V1
2486,Trinidad and Tobago,2021-01-12,9,2021-05-04,20I.Alpha.V1
2487,Togo,2021-01-12,33,2021-04-26,20I.Alpha.V1
2488,Latvia,2021-01-12,3200,2021-07-06,20I.Alpha.V1
2489,Belize,2021-01-12,29,2021-08-08,20I.Alpha.V1
2490,Angola,2021-01-15,156,2021-07-19,20I.Alpha.V1
2491,Côte d'Ivoire,2021-01-15,33,2021-04-28,20I.Alpha.V1
2492,Burkina Faso,2021-01-16,3,2021-02-03,20I.Alpha.V1
2493,China,2021-01-17,18,2021-06-06,20I.Alpha.V1
2494,Montenegro,2021-01-17,55,2021-08-05,20I.Alpha.V1
2495,Cabo Verde,2021-01-18,4,2021-02-03,20I.Alpha.V1
2496,Aruba,2021-01-20,551,2021-07-16,20I.Alpha.V1
2497,Central African Republic,2021-01-20,10,2021-03-17,20I.Alpha.V1
2498,Croatia,2021-01-20,4198,2021-08-27,20I.Alpha.V1
2499,Liechtenstein,2021-01-21,21,2021-06-10,20I.Alpha.V1
2500,Guadeloupe,2021-01-22,117,2021-08-30,20I.Alpha.V1
2501,Ethiopia,2021-01-23,32,2021-06-10,20I.Alpha.V1
2502,Curacao,2021-01-23,309,2021-07-14,20I.Alpha.V1
2503,Guinea,2021-01-26,34,2021-06-08,20I.Alpha.V1
2504,Cameroon,2021-01-26,17,2021-04-17,20I.Alpha.V1
2505,Moldova,2021-01-27,37,2021-06-24,20I.Alpha.V1
2506,Democratic Republic of the Congo,2021-01-28,8,2021-05-25,20I.Alpha.V1
2507,Benin,2021-01-30,38,2021-06-03,20I.Alpha.V1
2508,Azerbaijan,2021-02-01,3,2021-02-07,20I.Alpha.V1
2509,Lithuania,2021-02-02,9301,2021-08-04,20I.Alpha.V1
2510,Cambodia,2021-02-03,810,2021-10-30,20I.Alpha.V1
2511,Monaco,2021-02-04,3,2021-04-17,20I.Alpha.V1
2512,Bonaire,2021-02-06,162,2021-07-16,20I.Alpha.V1
2513,Equatorial Guinea,2021-02-06,2,2021-02-09,20I.Alpha.V1
2514,Djibouti,2021-02-12,79,2021-05-03,20I.Alpha.V1
2515,Sint Maarten,2021-02-12,436,2021-09-13,20I.Alpha.V1
2516,Antigua and Barbuda,2021-02-14,19,2021-07-25,20I.Alpha.V1
2517,Bahrain,2021-02-14,61,2021-07-31,20I.Alpha.V1
2518,Colombia,2021-02-15,136,2021-08-20,20I.Alpha.V1
2519,Ukraine,2021-02-18,116,2021-07-23,20I.Alpha.V1
2520,Suriname,2021-02-18,48,2021-08-09,20I.Alpha.V1
2521,Tunisia,2021-02-20,9,2021-05-20,20I.Alpha.V1
2522,Costa Rica,2021-02-22,142,2021-08-11,20I.Alpha.V1
2523,Belarus,2021-02-23,3,2021-02-24,20I.Alpha.V1
2524,Republic of the Congo,2021-02-25,30,2021-07-01,20I.Alpha.V1
2525,Paraguay,2021-02-28,6,2021-07-20,20I.Alpha.V1
2526,Somalia,2021-02-28,7,2021-03-05,20I.Alpha.V1
2527,Egypt,2021-03-01,27,2021-05-17,20I.Alpha.V1
2528,Kazakhstan,2021-03-02,180,2021-08-17,20I.Alpha.V1
2529,Sudan,2021-03-04,2,2021-03-28,20I.Alpha.V1
2530,Guatemala,2021-03-11,18,2021-07-15,20I.Alpha.V1
2531,Grenada,2021-03-12,3,2021-06-24,20I.Alpha.V1
2532,Madagascar,2021-03-15,25,2021-04-20,20I.Alpha.V1
2533,Armenia,2021-03-18,18,2021-07-06,20I.Alpha.V1
2534,Venezuela,2021-03-18,6,2021-07-03,20I.Alpha.V1
2535,Bahamas,2021-03-18,59,2021-08-07,20I.Alpha.V1
2536,Afghanistan,2021-03-21,52,2021-05-29,20I.Alpha.V1
2537,Uganda,2021-03-25,17,2021-06-15,20I.Alpha.V1
2538,Panama,2021-03-25,27,2021-04-30,20I.Alpha.V1
2539,Malta,2021-03-25,115,2021-07-08,20I.Alpha.V1
2540,South Sudan,2021-04-03,1,2021-04-03,20I.Alpha.V1
2541,Liberia,2021-04-04,4,2021-05-20,20I.Alpha.V1
2542,Saudi Arabia,2021-04-06,15,2021-05-24,20I.Alpha.V1
2543,Algeria,2021-04-12,11,2021-07-28,20I.Alpha.V1
2544,Nepal,2021-04-14,2,2021-06-02,20I.Alpha.V1
2545,Mozambique,2021-04-21,2,2021-05-07,20I.Alpha.V1
2546,Honduras,2021-04-23,1,2021-04-23,20I.Alpha.V1
2547,El Salvador,2021-04-29,7,2021-08-02,20I.Alpha.V1
2548,Seychelles,2021-05-15,6,2021-06-08,20I.Alpha.V1
2549,Haiti,2021-05-19,1,2021-05-19,20I.Alpha.V1
2550,Burundi,2021-05-27,1,2021-05-27,20I.Alpha.V1
2551,Myanmar,2021-05-28,2,2021-05-28,20I.Alpha.V1
2552,Libya,2021-06-05,1,2021-06-05,20I.Alpha.V1
2553,Andorra,2021-06-07,7,2021-07-02,20I.Alpha.V1
2554,Uzbekistan,2021-06-25,2,2021-06-25,20I.Alpha.V1
2555,China,2019-10-22,44,2021-07-17,S.A222
2556,Australia,2020-03-08,217,2021-11-17,S.A222
2557,Spain,2020-03-13,11706,2021-11-22,S.A222
2558,USA,2020-03-18,95775,2021-11-22,S.A222
2559,United Kingdom,2020-03-22,163410,2021-11-27,S.A222
2560,Iceland,2020-03-23,4623,2021-08-30,S.A222
2561,Canada,2020-03-24,22186,2021-11-17,S.A222
2562,Greece,2020-03-29,1263,2021-11-17,S.A222
2563,Turkey,2020-04-03,672,2021-11-17,S.A222
2564,Japan,2020-04-07,916,2021-11-13,S.A222
2565,France,2020-04-08,6919,2021-11-22,S.A222
2566,Brazil,2020-04-08,332,2021-11-11,S.A222
2567,Ireland,2020-04-11,2118,2021-11-20,S.A222
2568,Italy,2020-04-25,9001,2021-11-22,S.A222
2569,South Africa,2020-05-15,1436,2021-11-18,S.A222
2570,Mexico,2020-05-15,5043,2021-11-16,S.A222
2571,Russia,2020-05-18,55,2021-11-03,S.A222
2572,Germany,2020-06-04,19337,2021-11-20,S.A222
2573,Argentina,2020-06-10,101,2021-10-25,S.A222
2574,Senegal,2020-06-15,13,2021-08-06,S.A222
2575,Netherlands,2020-06-20,12258,2021-11-22,S.A222
2576,United Arab Emirates,2020-06-28,52,2021-06-20,S.A222
2577,Hong Kong,2020-07-01,101,2021-11-09,S.A222
2578,Belgium,2020-07-17,5950,2021-11-26,S.A222
2579,Switzerland,2020-07-22,8627,2021-11-23,S.A222
2580,Egypt,2020-07-23,10,2021-10-21,S.A222
2581,Norway,2020-07-28,3926,2021-11-22,S.A222
2582,Zambia,2020-08-02,2,2021-02-10,S.A222
2583,Denmark,2020-08-03,34157,2021-11-24,S.A222
2584,India,2020-08-10,6776,2021-11-20,S.A222
2585,Sweden,2020-08-14,13916,2021-11-22,S.A222
2586,Slovenia,2020-08-21,998,2021-10-20,S.A222
2587,Latvia,2020-08-22,1143,2021-07-06,S.A222
2588,Austria,2020-08-28,564,2021-11-07,S.A222
2589,Taiwan,2020-09-06,7,2021-08-26,S.A222
2590,Lithuania,2020-09-07,2999,2021-11-12,S.A222
2591,Pakistan,2020-09-09,92,2021-10-29,S.A222
2592,Estonia,2020-09-13,412,2021-11-02,S.A222
2593,Luxembourg,2020-09-14,1295,2021-11-12,S.A222
2594,Tunisia,2020-09-15,19,2021-03-04,S.A222
2595,Cyprus,2020-09-16,9,2021-01-26,S.A222
2596,Finland,2020-09-20,954,2021-10-21,S.A222
2597,New Zealand,2020-09-22,75,2021-11-15,S.A222
2598,Czech Republic,2020-09-24,1576,2021-11-26,S.A222
2599,South Korea,2020-09-29,6646,2021-11-01,S.A222
2600,Malaysia,2020-10-01,1267,2021-11-15,S.A222
2601,Serbia,2020-10-02,12,2021-09-01,S.A222
2602,Thailand,2020-10-09,96,2021-11-08,S.A222
2603,Peru,2020-10-12,255,2021-11-03,S.A222
2604,Chile,2020-10-12,171,2021-11-15,S.A222
2605,Singapore,2020-10-14,283,2021-11-23,S.A222
2606,Indonesia,2020-10-15,1189,2021-11-14,S.A222
2607,Jordan,2020-10-16,11,2021-10-25,S.A222
2608,Cameroon,2020-10-26,2,2020-10-26,S.A222
2609,Hungary,2020-10-29,2,2021-01-21,S.A222
2610,Solomon Islands,2020-10-30,4,2020-11-01,S.A222
2611,Bermuda,2020-10-31,4,2020-10-31,S.A222
2612,Romania,2020-10-31,517,2021-11-05,S.A222
2613,Portugal,2020-11-02,1813,2021-11-16,S.A222
2614,Qatar,2020-11-07,130,2021-09-21,S.A222
2615,Mauritius,2020-11-12,8,2021-10-05,S.A222
2616,Croatia,2020-11-12,617,2021-11-11,S.A222
2617,Philippines,2020-11-19,1961,2021-08-31,S.A222
2618,Fiji,2020-11-21,3,2020-12-01,S.A222
2619,Equatorial Guinea,2020-11-24,2,2021-01-02,S.A222
2620,Nigeria,2020-11-25,14,2021-09-12,S.A222
2621,Poland,2020-11-25,1182,2021-11-18,S.A222
2622,Panama,2020-11-27,1,2020-11-27,S.A222
2623,Slovakia,2020-11-30,1463,2021-11-11,S.A222
2624,Israel,2020-12-03,878,2021-11-21,S.A222
2625,Bulgaria,2020-12-11,809,2021-10-28,S.A222
2626,Kosovo,2020-12-11,55,2021-10-04,S.A222
2627,Kazakhstan,2020-12-13,3,2021-02-26,S.A222
2628,Iraq,2020-12-14,5,2021-07-28,S.A222
2629,Morocco,2020-12-17,20,2021-09-09,S.A222
2630,North Macedonia,2020-12-17,20,2021-11-08,S.A222
2631,Kenya,2020-12-19,34,2021-09-21,S.A222
2632,Zimbabwe,2020-12-19,18,2021-08-18,S.A222
2633,Jamaica,2020-12-21,16,2021-07-25,S.A222
2634,Mozambique,2020-12-23,6,2021-09-01,S.A222
2635,Guatemala,2020-12-23,1,2020-12-23,S.A222
2636,Vietnam,2020-12-24,1259,2021-10-22,S.A222
2637,Colombia,2020-12-29,86,2021-10-29,S.A222
2638,Ukraine,2020-12-30,46,2021-10-25,S.A222
2639,Suriname,2021-01-03,14,2021-10-06,S.A222
2640,Lebanon,2021-01-05,4,2021-07-02,S.A222
2641,Oman,2021-01-06,12,2021-07-06,S.A222
2642,Ghana,2021-01-06,39,2021-09-08,S.A222
2643,Belize,2021-01-07,62,2021-08-10,S.A222
2644,Uruguay,2021-01-08,9,2021-04-10,S.A222
2645,Guinea-Bissau,2021-01-11,1,2021-01-11,S.A222
